min;max;range;average;energy;rms;std;volume;surfacde;surfaceovervolume;sphercal disporportion;compactness;label
-834;204;1038;-58.55882353;86423687;186.6016616;177.1751796;7107.422934;2300.093341;0.323618471;1.286628686;0.036351223;1
-885;151;1036;-275.0763889;169658419;361.8138664;235.0367082;3711.208752;1478.106072;0.398281576;1.275100906;0.036845296;1
-1010;140;1150;-462.7897898;100630813;549.7223241;296.6820589;953.574471;650.0754454;0.681724884;1.387532701;0.032458918;1
-907;106;1013;-137.505305;151206285;258.5464752;218.9487861;6471.633911;2145.539675;0.331529828;1.277545758;0.036739579;0
-1022;855;1877;70.93293774;1346573899;95.89066691;64.52548601;419360.8618;39312.70755;0.093744341;1.450964879;0.030353832;0
-987;782;1769;31.10480982;276019411;105.4023544;100.7082276;71082.11517;15050.97616;0.211740691;1.813734225;0.021718929;1
-881;280;1161;21.70323912;335666215;133.2882482;131.5094161;54056.1676;12183.31591;0.225382532;1.762183834;0.022678904;0
-838;902;1740;28.55376714;316467855;56.61843088;48.89099198;282699.0358;35474.53863;0.125485177;1.703006922;0.0238712;0
-1024;550;1574;-18.06030096;2938259729;156.5554178;155.5102067;342985.1532;48452.01213;0.141265625;2.044768496;0.018143984;0
-977;878;1855;-82.51688516;1655906374;276.9629926;264.3850657;61760.9024;13762.47368;0.222834725;1.821391427;0.021582112;0
-892;89;981;-222.4782237;129705412;332.8132447;247.5239298;3350.257874;1479.977016;0.441750179;1.366843176;0.033198682;1
-990;285;1275;0.924535824;946542791;232.1841684;232.1823277;50278.86055;11593.73562;0.230588671;1.759877006;0.022723509;0
-927;153;1080;-258.871788;457107671;349.7887367;235.2393626;10688.78174;3449.165654;0.32269025;1.469866152;0.02977023;1
-968;124;1092;-252.5283927;430076489;371.4534956;272.4098205;8917.808533;3693.856856;0.414211276;1.776194447;0.022411097;1
-812;1011;1823;83.0982214;2064226372;234.0889162;218.8431089;107774.7345;19657.71057;0.182396279;1.79488862;0.022061885;0
-904;1138;2042;23.42412738;1940561249;132.7614509;130.6786636;314995.7657;40933.915;0.129950683;1.828364085;0.021458771;0
-781;74;855;-147.8243626;94180812;230.9983407;177.5054682;5049.705505;2027.11596;0.401432511;1.424132621;0.031215711;0
-1024;1249;2273;-22.73287799;960716259;173.0966729;171.5974197;91735.83984;14978.61059;0.163279811;1.522748025;0.028232986;0
-922;110;1032;-350.3308108;197310406;461.8533826;300.9599143;2646.446228;1199.842222;0.453378651;1.296775011;0.035925426;0
